1752099488.223973,0
1752099488.327978,5
1752099488.432803,11
1752099488.540954,18
1752099488.645129,25
1752099488.750044,33
1752099488.853601,40
1752099488.962115,49
1752099489.068328,54
1752099489.173689,62
1752099489.277712,68
1752099489.381898,76
1752099489.492243,81
1752099489.595395,93
1752099489.699538,101
1752099489.803120,108
1752099489.909435,116
1752099490.013307,124
1752099490.117632,131
1752099490.222421,137
1752099490.326879,146
1752099490.431094,153
1752099490.536607,158
1752099490.647670,168
1752099490.753268,175
1752099490.860167,182
1752099490.967114,186
1752099491.077881,195
1752099491.185722,198
1752099491.290972,200
1752099491.395050,200
1752099491.499300,200
1752099491.604135,200
1752099491.708741,200
1752099491.813726,199
1752099491.918375,199
1752099492.022261,200
1752099492.130846,200
1752099492.235508,199
1752099492.339040,200
1752099492.443543,200
1752099492.550132,200
1752099492.654826,200
1752099492.758448,200
1752099492.863058,200
1752099492.967098,200
1752099493.072046,200
1752099493.175448,200
1752099493.279256,200
1752099493.383173,200
1752099493.487321,200
1752099493.596014,200
1752099493.699366,200
1752099493.804329,200
1752099493.908576,200
1752099494.012105,199
1752099494.115781,200
1752099494.222137,200
1752099494.336978,200
1752099494.443597,200
1752099494.548366,199
1752099494.654458,199
1752099494.760164,200
1752099494.865669,200
1752099494.970994,200
1752099495.076145,200
1752099495.180722,200
1752099495.285464,199
1752099495.389414,200
1752099495.495521,200
1752099495.600033,200
1752099495.709783,200
1752099495.814006,199
1752099495.925340,200
1752099496.035004,200
1752099496.148065,200
1752099496.261979,200
1752099496.375871,199
1752099496.484427,200
1752099496.588262,200
1752099496.696088,200
1752099496.800651,200
1752099496.908017,200
1752099497.012446,199
1752099497.117368,200
1752099497.224152,198
1752099497.330084,200
1752099497.434693,197
1752099497.544657,198
1752099497.649490,198
1752099497.756639,198
1752099497.862960,197
1752099497.967212,196
1752099498.071441,195
1752099498.177952,194
1752099498.287738,196
1752099498.391597,196
1752099498.497790,195
1752099498.606896,200
1752099498.711165,198
1752099498.815499,200
1752099498.922375,199
1752099499.032196,199
1752099499.136311,199
1752099499.240431,196
1752099499.346280,196
1752099499.451678,197
1752099499.558693,198
1752099499.680956,197
1752099499.786071,197
1752099499.893288,198
1752099500.003239,197
1752099500.113407,196
1752099500.216712,199
1752099500.323123,197
1752099500.427218,200
1752099500.531302,197
1752099500.635788,199
1752099500.740199,199
1752099500.844904,200
1752099500.958779,198
1752099501.063160,200
1752099501.167930,199
1752099501.272370,199
1752099501.380538,200
1752099501.486393,199
1752099501.590406,199
1752099501.694757,198
1752099501.800847,199
1752099501.910713,200
1752099502.022384,197
1752099502.127002,198
1752099502.263589,198
1752099502.376568,198
1752099502.480521,200
1752099502.584288,198
1752099502.691509,199
1752099502.796041,196
1752099502.908824,189
1752099503.016778,182
